Date,Revenu,Dépenses,Profit
2015-01-01,117640.52345967664,73201.25766693779,44439.26579273885
2015-01-02,109801.06909499306,87935.35914597305,21865.709949020005
2015-01-03,118702.958409371,62198.20406571151,56504.75434365949
2015-01-04,109541.95193706287,68813.78299070262,40728.16894636025
2015-01-05,99022.56849780706,73317.64222495256,25704.9262728545
2015-01-06,101508.88198128708,81675.25581751077,19833.62616377631
2015-01-07,107692.5127750839,71022.681446111,36669.8313289729
2015-01-08,104534.45710500388,72726.8894855239,31807.567619479974
2015-01-09,115050.30476306136,68424.44230876476,46625.8624542966
2015-01-10,103253.88030192995,63241.156056838765,40012.72424509119
2015-01-11,74606.99438101581,75311.08428713685,-704.0899061210366
2015-01-12,108794.94378188733,64153.02891272383,44641.9148691635
2015-01-13,122861.817287104,58463.63723154664,64398.18005555736
2015-01-14,100635.54547417806,68609.3053804915,32026.24009368656
2015-01-15,115519.44169868382,81869.85989226183,33649.58180642199
2015-01-16,101754.81306600406,73148.50344223833,28606.30962376573
2015-01-17,91341.17058666944,54285.04509199092,37056.12549467852
2015-01-18,96753.5958236447,71390.42214297557,25363.173680669133
2015-01-19,112549.3133781191,79766.88273278042,32782.43064533868
2015-01-20,96386.82765069803,67737.63549026384,28649.19216043419
2015-01-21,89788.25542804228,58804.127549796125,30984.127878246152
2015-01-22,83224.77242639873,85778.68776144364,-2553.915335044905
2015-01-23,95204.641769068,66676.10373906123,28528.538030006763
2015-01-24,87786.89924002092,76408.83455096738,11378.064689053543
2015-01-25,84189.56361887635,68495.20301496175,15694.360603914596
2015-01-26,91387.56573645475,73300.558791909,18087.00694454575
2015-01-27,95247.86922663843,60768.494888417,34479.37433822143
2015-01-28,100087.78757287629,73648.42087800104,26439.36669487525
2015-01-29,101048.47133403017,72649.75464803734,28398.716685992826
2015-01-30,94053.76742732452,67336.2636905834,26717.503736741128
2015-01-31,93686.07314031031,67369.98127851756,26316.091861792753
2015-02-01,92292.90405156092,56444.35930454988,35848.544747011045
2015-02-02,102212.31754847866,67048.58618589859,35163.731362580074
2015-02-03,84149.76191021634,73973.30527213226,10176.456638084084
2015-02-04,91392.45098998003,70694.82394665659,20697.627043323446
2015-02-05,107770.02950952349,71319.33761870816,36450.69189081533
2015-02-06,111886.81998711677,60417.081322181046,51469.73866493573
2015-02-07,104529.91880739492,64825.42070984916,39704.49809754576
2015-02-08,91812.22015773627,65681.31767161774,26130.90248611853
2015-02-09,97418.35558221703,70769.65127993243,26648.704302284605
2015-02-10,88896.07174959285,77535.15399008935,11360.9177595035
2015-02-11,105217.88380866668,58046.806156599465,47171.077652067215
2015-02-12,115457.47060325374,85512.0826074233,29945.38799583043
2015-02-13,112376.43363082991,68913.78406504123,43462.649565788684
2015-02-14,89894.80095806364,78797.01011935053,11097.790838713117
2015-02-15,96584.24695737293,80149.17041932225,16435.07653805068
2015-02-16,102712.45546180899,78190.93570049394,24521.519761315052
2015-02-17,104207.05890672005,76038.62230652121,28168.43660019884
2015-02-18,100762.0843961199,84681.21446459371,16080.869931526191
2015-02-19,101939.89436988356,73618.37897326604,28321.515396617528
2015-02-20,119515.96966734558,59628.60512893025,59887.36453841533
2015-02-21,87993.30196586135,78174.06483569529,9819.23713016606
2015-02-22,88980.60715351276,85976.07420798694,3004.532945525818
2015-02-23,96589.34065099253,64455.67978362794,32133.66086736459
2015-02-24,119968.63997732951,82287.65015899079,37680.98981833873
2015-02-25,119428.49857072702,77700.10264607987,41728.39592464715
2015-02-26,92154.34136984996,85740.47855703047,6413.862812819498
2015-02-27,98100.25376481884,76887.82365097075,21212.430113848095
2015-02-28,110266.49640600578,69236.30529223432,41030.19111377146
2015-03-01,106948.45968566477,77862.2529618546,29086.206723810174
2015-03-02,104585.61054769592,61697.606817010215,42888.003730685705
2015-03-03,103817.42623213585,81112.11386754141,22705.312364594443
2015-03-04,93903.0551466973,69312.1639237852,24590.89122291209
2015-03-05,96510.88748073025,85311.5636266027,11199.32385412755
2015-03-06,107599.05982200662,73785.36204105825,33813.697780948365
2015-03-07,93190.64076136476,74847.8744338253,18342.76632753946
2015-03-08,94160.16415317984,70796.73892204696,23363.425231132875
2015-03-09,94558.71922990045,75961.77436778555,18596.944862114906
2015-03-10,106696.77743377433,68892.131515951,37804.645917823334
2015-03-11,104904.62564817703,61822.24304309229,43082.382605084735
2015-03-12,86045.67184844018,74090.08227541402,11955.589573026155
2015-03-13,102638.67198315718,75663.41371279598,26975.2582703612
2015-03-14,124817.07403200697,78147.21166594385,46669.86236606313
2015-03-15,91871.09328286164,79535.71962714875,12335.373655712887
2015-03-16,87853.93068612367,66915.12603622566,20938.80464989801
2015-03-17,100344.27799192822,84322.75820029966,16021.519791628554
2015-03-18,93592.8350786258,64012.721670194005,29580.11340843179
2015-03-19,100069.54730879153,65324.61724093066,34744.93006786087
2015-03-20,112334.12102804659,62001.205017281536,50332.91601076505
2015-03-21,89606.76453680616,67146.31027859483,22460.454258211335
2015-03-22,96114.81580792979,86093.34061944758,10021.475188482204
2015-03-23,110603.03763804611,71365.70767235462,39237.32996569149
2015-03-24,88868.16363442248,77428.41510484688,11439.748529575605
2015-03-25,91134.05460276417,58323.556071775005,32810.49853098916
2015-03-26,113030.1952541185,73225.47929375609,39804.71596036242
2015-03-27,110372.17482233934,73247.97317426286,37124.20164807647
2015-03-28,109745.5819574937,65498.16075667891,44247.421200814795
2015-03-29,90848.5366745578,76167.3352016945,14681.201472863308
2015-03-30,93170.55770459972,65206.394385801264,27964.163318798455
2015-03-31,96663.01856510036,70870.83943236472,25792.179132735633
2015-04-01,97692.09374167462,59739.60936518152,37952.4843764931
2015-04-02,94809.5380798162,52960.20804709165,41849.330032724545
